Date,Currency,Change
September 1 1982,Pound sterling,112.7371274
September 1 1982,Canadian dollar,90.14031096
September 1 1982,Swiss franc,138.5428254
September 1 1982,Indian rupee,116.70478
September 1 1982,Chinese renmimbi,
September 1 1982,South African rand,138.8489209
September 1 1982,Australian dollar,115.8057851
October 1 1982,US dollar,77.87610619
October 1 1982,Euro,183.1509847
October 1 1982,Japanese yen,147.9201852
October 1 1982,Pound sterling,114.0921409
October 1 1982,Canadian dollar,86.19643534
October 1 1982,Swiss franc,140.378198
October 1 1982,Indian rupee,115.0538234
October 1 1982,Chinese renmimbi,
October 1 1982,South African rand,136.0739979
October 1 1982,Australian dollar,116.6838843
November 1 1982,US dollar,89.07079646
November 1 1982,Euro,207.0751276
November 1 1982,Japanese yen,172.9120188
November 1 1982,Pound sterling,129.3586269
November 1 1982,Canadian dollar,97.91429655
November 1 1982,Swiss franc,160.4282536
November 1 1982,Indian rupee,130.2861286
November 1 1982,Chinese renmimbi,
November 1 1982,South African rand,155.6012333
November 1 1982,Australian dollar,135.2272727
December 1 1982,US dollar,94.82300885
December 1 1982,Euro,211.7432531
December 1 1982,Japanese yen,154.4453943
December 1 1982,Pound sterling,144.1734417
December 1 1982,Canadian dollar,107.2810011
December 1 1982,Swiss franc,159.5939933
December 1 1982,Indian rupee,136.9457304
December 1 1982,Chinese renmimbi,
December 1 1982,South African rand,148.663926
December 1 1982,Australian dollar,136.7768595
February 1 1983,US dollar,125
February 1 1983,Euro,260.7585704
February 1 1983,Japanese yen,181.7560101
February 1 1983,Pound sterling,201.4453478
February 1 1983,Canadian dollar,138.1873341
February 1 1983,Swiss franc,184.8442714
February 1 1983,Indian rupee,179.853868
February 1 1983,Chinese renmimbi,
February 1 1983,South African rand,180.0102775
February 1 1983,Australian dollar,171.177686
March 1 1983,US dollar,83.18584071
March 1 1983,Euro,191.5390226
March 1 1983,Japanese yen,129.4709359
March 1 1983,Pound sterling,148.2384824
March 1 1983,Canadian dollar,92.98445203
March 1 1983,Swiss franc,138.1535039
March 1 1983,Indian rupee,129.7339506
March 1 1983,Chinese renmimbi,
March 1 1983,South African rand,133.0935252
March 1 1983,Australian dollar,125.7747934
April 1 1983,US dollar,83.53982301
April 1 1983,Euro,199.7082422
April 1 1983,Japanese yen,129.3020487
April 1 1983,Pound sterling,152.5745257
April 1 1983,Canadian dollar,93.66704589
April 1 1983,Swiss franc,140.1001112
April 1 1983,Indian rupee,128.9196274
April 1 1983,Chinese renmimbi,
April 1 1983,South African rand,133.2476876
April 1 1983,Australian dollar,146.3842975
June 1 1983,US dollar,81.4159292
June 1 1983,Euro,205.7622174
June 1 1983,Japanese yen,131.428545
June 1 1983,Pound sterling,132.8816621
June 1 1983,Canadian dollar,94.2358741
June 1 1983,Swiss franc,144.4938821
June 1 1983,Indian rupee,132.2215405
June 1 1983,Chinese renmimbi,
June 1 1983,South African rand,131.6032888
June 1 1983,Australian dollar,144.0599174
July 1 1983,US dollar,84.20353982
July 1 1983,Euro,215.0255288
July 1 1983,Japanese yen,130.7048088
July 1 1983,Pound sterling,145.5284553
July 1 1983,Canadian dollar,93.78081153
July 1 1983,Swiss franc,144.0211346
July 1 1983,Indian rupee,133.1139495
July 1 1983,Chinese renmimbi,
July 1 1983,South African rand,134.3268243
July 1 1983,Australian dollar,145.7128099
August 1 1983,US dollar,81.99115044
August 1 1983,Euro,228.519329
August 1 1983,Japanese yen,133.5244608
August 1 1983,Pound sterling,146.2511292
August 1 1983,Canadian dollar,93.36367084
August 1 1983,Swiss franc,147.942158
August 1 1983,Indian rupee,134.513916
August 1 1983,Chinese renmimbi,
August 1 1983,South African rand,133.299075
August 1 1983,Australian dollar,143.0268595
September 1 1983,US dollar,84.33628319
September 1 1983,Euro,232.2392414
September 1 1983,Japanese yen,137.7681867
September 1 1983,Pound sterling,151.0388437
September 1 1983,Canadian dollar,94.38756162
September 1 1983,Swiss franc,153.003337
September 1 1983,Indian rupee,136.2039154
September 1 1983,Chinese renmimbi,
September 1 1983,South African rand,140.6988695
September 1 1983,Australian dollar,144.9380165
November 1 1983,US dollar,67.16814159
November 1 1983,Euro,202.6258206
November 1 1983,Japanese yen,104.6579513
November 1 1983,Pound sterling,129.5392954
November 1 1983,Canadian dollar,75.76791809
November 1 1983,Swiss franc,126.1401557
November 1 1983,Indian rupee,116.7159351
November 1 1983,Chinese renmimbi,
November 1 1983,South African rand,125.950668
November 1 1983,Australian dollar,113.1714876
December 1 1983,US dollar,76.68141593
December 1 1983,Euro,225.6017505
December 1 1983,Japanese yen,114.8864008
December 1 1983,Pound sterling,147.4254743
December 1 1983,Canadian dollar,87.37201365
December 1 1983,Swiss franc,139.8776418
December 1 1983,Indian rupee,131.7586034
December 1 1983,Chinese renmimbi,
December 1 1983,South African rand,145.5292909
December 1 1983,Australian dollar,119.8347107
February 1 1984,US dollar,67.34513274
February 1 1984,Euro,219.4748359
February 1 1984,Japanese yen,104.7573376
February 1 1984,Pound sterling,142.1860885
February 1 1984,Canadian dollar,78.38452787
February 1 1984,Swiss franc,134.4549499
February 1 1984,Indian rupee,125.3109487
February 1 1984,Chinese renmimbi,
February 1 1984,South African rand,144.655704
February 1 1984,Australian dollar,111.4152893
March 1 1984,US dollar,73.80530973
March 1 1984,Euro,212.9102845
March 1 1984,Japanese yen,113.7852746
March 1 1984,Pound sterling,140.1084011
March 1 1984,Canadian dollar,87.56162306
March 1 1984,Swiss franc,139.1268076
March 1 1984,Indian rupee,136.4325952
March 1 1984,Chinese renmimbi,
March 1 1984,South African rand,144.9640288
March 1 1984,Australian dollar,115.857438
May 1 1984,US dollar,66.59292035
May 1 1984,Euro,211.6703136
May 1 1984,Japanese yen,97.78014081
May 1 1984,Pound sterling,143.2700994
