Date,Currency,Change
January 27 2000,Australian dollar,-0.818553888
January 28 2000,US dollar,-1.205649328
January 28 2000,Euro,2.34347674
January 28 2000,Japanese yen,2.913765581
January 28 2000,Pound sterling,-0.950782998
January 28 2000,Canadian dollar,-1.383587786
January 28 2000,Swiss franc,2.788063603
January 28 2000,Indian rupee,-0.952916574
January 28 2000,Chinese renmimbi,-1.22752996
January 28 2000,South African rand,2.56150425
January 28 2000,Australian dollar,1.47794452
January 31 2000,US dollar,-2.411298657
January 31 2000,Euro,1.294158797
January 31 2000,Japanese yen,2.998335767
January 31 2000,Pound sterling,-2.237136465
January 31 2000,Canadian dollar,-2.075381679
January 31 2000,Swiss franc,1.437595295
January 31 2000,Indian rupee,-2.09435696
January 31 2000,Chinese renmimbi,-2.417609854
January 31 2000,South African rand,0.647413162
January 31 2000,Australian dollar,1.000454752
February 1 2000,US dollar,-2.514640028
February 1 2000,Euro,1.748863239
February 1 2000,Japanese yen,3.711238665
February 1 2000,Pound sterling,-2.013422819
February 1 2000,Canadian dollar,-2.290076336
February 1 2000,Swiss franc,1.916793727
February 1 2000,Indian rupee,-2.259117265
February 1 2000,Chinese renmimbi,-2.525798935
February 1 2000,South African rand,0.16326071
February 1 2000,Australian dollar,1.500682128
February 2 2000,US dollar,-1.619014812
February 2 2000,Euro,2.763203917
February 2 2000,Japanese yen,5.163536324
February 2 2000,Pound sterling,-0.391498881
February 2 2000,Canadian dollar,-1.407442748
February 2 2000,Swiss franc,3.071226312
February 2 2000,Indian rupee,-1.409967998
February 2 2000,Chinese renmimbi,-1.631158455
February 2 2000,South African rand,1.114676575
February 2 2000,Australian dollar,2.023647112
February 3 2000,US dollar,-1.791250431
February 3 2000,Euro,1.294158797
February 3 2000,Japanese yen,4.748157457
February 3 2000,Pound sterling,-0.503355705
February 3 2000,Canadian dollar,-2.027671756
February 3 2000,Swiss franc,1.394031801
February 3 2000,Indian rupee,-1.550172681
February 3 2000,Chinese renmimbi,-1.810086551
February 3 2000,South African rand,0.34341046
February 3 2000,Australian dollar,1.659845384
February 4 2000,US dollar,1.171202205
February 4 2000,Euro,4.826862539
February 4 2000,Japanese yen,7.045477703
February 4 2000,Pound sterling,3.41163311
February 4 2000,Canadian dollar,1.145038168
February 4 2000,Swiss franc,4.988020039
February 4 2000,Indian rupee,1.439276322
February 4 2000,Chinese renmimbi,1.160952064
February 4 2000,South African rand,3.952035129
February 4 2000,Australian dollar,5.638926785
February 7 2000,US dollar,7.716155701
February 7 2000,Euro,11.82231549
February 7 2000,Japanese yen,15.12651564
February 7 2000,Pound sterling,10.01118568
February 7 2000,Canadian dollar,7.824427481
February 7 2000,Swiss franc,11.82748856
February 7 2000,Indian rupee,8.019391021
February 7 2000,Chinese renmimbi,7.723035952
February 7 2000,South African rand,10.74142881
February 7 2000,Australian dollar,12.09640746
February 8 2000,US dollar,2.06682742
February 8 2000,Euro,5.036726128
February 8 2000,Japanese yen,10.13144041
February 8 2000,Pound sterling,2.852348993
February 8 2000,Canadian dollar,2.194656489
February 8 2000,Swiss franc,5.227619255
February 8 2000,Indian rupee,2.348626469
February 8 2000,Chinese renmimbi,2.055592543
February 8 2000,South African rand,4.886561955
February 8 2000,Australian dollar,6.207366985
February 9 2000,US dollar,6.303823631
February 9 2000,Euro,9.059111577
February 9 2000,Japanese yen,14.42923615
February 9 2000,Pound sterling,7.158836689
February 9 2000,Canadian dollar,6.297709924
February 9 2000,Swiss franc,9.279024178
February 9 2000,Indian rupee,6.579322582
February 9 2000,Chinese renmimbi,6.308255659
February 9 2000,South African rand,9.632381917
February 9 2000,Australian dollar,10.5047749
February 10 2000,US dollar,6.441612125
February 10 2000,Euro,9.688702343
February 10 2000,Japanese yen,13.88479435
February 10 2000,Pound sterling,7.606263982
February 10 2000,Canadian dollar,6.822519084
February 10 2000,Swiss franc,9.671095622
February 10 2000,Indian rupee,6.643484047
February 10 2000,Chinese renmimbi,6.449733688
February 10 2000,South African rand,10.1897202
February 10 2000,Australian dollar,11.20964075
February 11 2000,US dollar,7.302790217
February 11 2000,Euro,10.56313396
February 11 2000,Japanese yen,15.22942635
February 11 2000,Pound sterling,9.228187919
February 11 2000,Canadian dollar,7.848282443
February 11 2000,Swiss franc,10.52058375
February 11 2000,Indian rupee,7.629669529
February 11 2000,Chinese renmimbi,7.31108522
February 11 2000,South African rand,11.6027698
February 11 2000,Australian dollar,12.57389723
February 14 2000,US dollar,6.234929383
February 14 2000,Euro,10.03847499
February 14 2000,Japanese yen,13.83384845
February 14 2000,Pound sterling,8.501118568
February 14 2000,Canadian dollar,6.917938931
February 14 2000,Swiss franc,10.10673056
February 14 2000,Indian rupee,6.534964038
February 14 2000,Chinese renmimbi,6.212549933
February 14 2000,South African rand,10.33609188
February 14 2000,Australian dollar,11.45975443
February 15 2000,US dollar,4.822597313
February 15 2000,Euro,8.219657223
February 15 2000,Japanese yen,12.34622831
February 15 2000,Pound sterling,6.543624161
February 15 2000,Canadian dollar,5.772900763
February 15 2000,Swiss franc,8.21171858
February 15 2000,Indian rupee,5.113114287
February 15 2000,Chinese renmimbi,4.79776964
February 15 2000,South African rand,8.861115803
February 15 2000,Australian dollar,9.79990905
February 16 2000,US dollar,4.202549087
February 16 2000,Euro,7.555089192
February 16 2000,Japanese yen,12.51163265
February 16 2000,Pound sterling,5.592841163
February 16 2000,Canadian dollar,4.81870229
February 16 2000,Swiss franc,7.427575692
February 16 2000,Indian rupee,4.478628687
February 16 2000,Chinese renmimbi,4.194407457
February 16 2000,South African rand,8.027923211
February 16 2000,Australian dollar,9.140518417
