Date,Day,Currency,Change
Jul 1 2002,1,US dollar,7.509472959
Jul 1 2002,1,Euro,10.56313396
Jul 1 2002,1,Japanese yen,27.24926128
Jul 1 2002,1,Pound sterling,14.14988814
Jul 1 2002,1,Canadian dollar,13.04866412
Jul 1 2002,1,Swiss franc,1.219777826
Jul 1 2002,1,Indian rupee,20.66791293
Jul 1 2002,1,Chinese renmimbi,7.494174434
Jul 1 2002,1,South African rand,75.89934133
Jul 1 2002,1,Australian dollar,26.4211005
Aug 1 2002,1,US dollar,4.13365484
Aug 1 2002,1,Euro,7.625043722
Aug 1 2002,1,Japanese yen,22.68416941
Aug 1 2002,1,Pound sterling,8.668903803
Aug 1 2002,1,Canadian dollar,14.28912214
Aug 1 2002,1,Swiss franc,-2.853408843
Aug 1 2002,1,Indian rupee,16.42850353
Aug 1 2002,1,Chinese renmimbi,4.094540613
Aug 1 2002,1,South African rand,75.26318752
Aug 1 2002,1,Australian dollar,27.67166894
Oct 1 2002,1,US dollar,10.85084395
Oct 1 2002,1,Euro,14.30570129
Oct 1 2002,1,Japanese yen,34.00332847
Oct 1 2002,1,Pound sterling,14.65324385
Oct 1 2002,1,Canadian dollar,21.85114504
Oct 1 2002,1,Swiss franc,3.833587454
Oct 1 2002,1,Indian rupee,23.20110263
Oct 1 2002,1,Chinese renmimbi,10.81890812
Oct 1 2002,1,South African rand,89.37116478
Oct 1 2002,1,Australian dollar,34.81127785
Nov 1 2002,1,US dollar,10.1963486
Nov 1 2002,1,Euro,12.27701994
Nov 1 2002,1,Japanese yen,32.84244133
Nov 1 2002,1,Pound sterling,14.37360179
Nov 1 2002,1,Canadian dollar,18.94083969
Nov 1 2002,1,Swiss franc,2.24351993
Nov 1 2002,1,Indian rupee,22.39789614
Nov 1 2002,1,Chinese renmimbi,10.1614514
Nov 1 2002,1,South African rand,79.68811575
Nov 1 2002,1,Australian dollar,30.46839472
Jan 1 2003,1,US dollar,19.60041337
Jan 1 2003,1,Euro,15.73976915
Jan 1 2003,1,Japanese yen,39.93886493
